INPEX_File,INPEX_Desc_Preview,Rank,Similarity_Score,Matched_External_Category,Matched_External_Description
IEA2024-Successofstart-ups_metadata.csv,This set of indicators will focus on measuring how successful start-ups have been in different count...,1,0.4370,Financial,"""This dataset contains longitudinal, mixed-method data collected from 40 early-stage ventures in Egypt, Indonesia, and Brazil between 2018 and 2024. It captures how entrepreneurs balance financial and environmental, social, and governance (ESG) goals during venture inception, post-seed investment, and scale-up phases. Data include (1) structured interview responses covering goal-setting and learning routines, (2) survey responses measuring early goal imprinting, entrepreneurial learning routines, goal reconciliation perception, and performance indicators, and (3) qualitative coding outcomes for thematic analysis. This dataset enables exploration of the relationships among early goal orientation, learning practices, goal integration, and venture performance in diverse emerging economy contexts."""
IEA2024-Successofstart-ups_metadata.csv,This set of indicators will focus on measuring how successful start-ups have been in different count...,2,0.3930,Machine Learning,Technology adoption scores of the countries are calculated in this dataset using World Economic Forum and GTCI 2020 dataset.
IEA2024-Successofstart-ups_metadata.csv,This set of indicators will focus on measuring how successful start-ups have been in different count...,3,0.3579,Machine Learning,"Crowdfunding helps SMEs and entrepreneurs secure financing, but many projects fail. This study examines how technological features of crowdfunding platforms, specifically advanced analytics and visual tools, influence project success.Using data from 2,285 projects (2022–2024) on Chinese platforms Xiaomi Youpin, Modian, and Zaodian Xinhuo, we apply a Random Forest model to identify key predictors of success. We employ the Investment Attractiveness Matrix to visualize relationships among project innovativeness, risk, and success rates.Our findings indicate that technological features significantly enhance success rates. The Random Forest model highlights critical factors such as project quality signals and social capital. The Investment Attractiveness Matrix aids creators in strategically positioning their campaigns.This research contributes by integrating machine learning and visual analytics into crowdfunding studies, offering a novel approach. It extends the Resource-Based View by demonstrating that technological resources are critical capabilities for platforms. Applying Signaling and Social Capital theories, we show how presentation and networks impact success.Practically, the study provides insights for platforms and project initiators to optimize strategies through advanced analytics."
IEA2024-Successofstart-ups_metadata.csv,This set of indicators will focus on measuring how successful start-ups have been in different count...,4,0.3575,Machine Learning,"""This dataset contains survey responses from 150 data scientists examining the success determinants of machine learning (ML) projects using the Machine Learning Canvas (MLC) framework. The MLC is a visual planning tool that adapts business model canvas principles to ML projects, integrating four key dimensions: Strategy (task definition, data specification, target setting), Process (data preprocessing and model development activities), Ecosystem (infrastructure and deployment capabilities), and Support (organizational resources and leadership).The dataset includes Likert-scale measurements (1-5) for each construct dimension, along with project success indicators based on the Iron Triangle framework (performance goals, business objectives, and stakeholder satisfaction). Respondents represent various industries including fintech, education, AI, and telecommunications, with 67% being employed professionals. The data enables structural equation modeling (SEM) analysis to understand the cascading relationships between organizational support, strategic clarity, structured processes, ecosystem quality, and ML project success. This dataset is particularly relevant for researchers studying ML project management, MLOps adoption, and the impact of organizational factors on technical project outcomes in the era of AI-assisted development."""
IEA2024-Successofstart-ups_metadata.csv,This set of indicators will focus on measuring how successful start-ups have been in different count...,5,0.3510,Artificial Intelligence,"""This dataset includes original data gathered to study how adopting Artificial Intelligence (AI) affects business sustainability, along with important factors that influence this relationship. The dataset includes measurement items related to AI adoption, CP, IED, and business sustainability (BS). All items were measured using a 5-point Likert scale ranging from 1 (Strongly Disagree) to 5 (Strongly Agree). Structured questionnaires collected data from respondents in B2B enterprises, ensuring the reliability and validity of constructs through established scales from prior literature."""
Historic_Clean_Energy_Grant_Awards_metadata.csv,The goal of the Clean Energy Grant Program is to increase the amount of renewable energy generated i...,1,0.4555,Machine Learning,"Clean energy technologies, encompassing renewable resources like solar, wind, and hydropower, are essential in the global effort to reduce greenhouse gas emissions and combat climate change. As the globe prepares to transition away from fossil fuels, understanding the factors and parameters influencing the penetration of clean energy into existing energy markets has become a critical step. Controversies surrounding the environmental impacts of renewable technologies, variability in market structures, and economic pressures on clean energy companies can complicate this transition. Thus, resources must be focused in the right areas to ensure the growing demand for sustainable energy solutions is being met adequately. Strategic investments in high-potential parameters, alongside targeted policy interventions and technological advancements, can maximize the impact of clean energy initiatives while ensuring long-term sustainability and economic viability. This study leverages machine learning models to analyze and focus on geographic as well as policy-driven parameters that have influenced clean energy adoption over the past few years, focusing on various regions in New York State. Key parameters analyzed include solar and wind potential, average energy prices, subsidy amounts, grid capacity, public awareness, renewable and fossil energy market shares, and policy support indices. Despite challenges such as market variability and infrastructure limitations, this research offers a data-driven blueprint to bridge demand-supply gaps and guide policymaking, making sure energy investments are focused in the right areas, fostering a sustainable energy future."
Historic_Clean_Energy_Grant_Awards_metadata.csv,The goal of the Clean Energy Grant Program is to increase the amount of renewable energy generated i...,2,0.3875,Health,"Access to clean drinking water is crucial for health, a fundamental human right, and a component of successful health protection policies. On a national, regional, and local level, this is significant as a health and development issue. Investments in water supply and sanitation have been shown to produce a net economic benefit in some areas because they reduce negative health effects and medical expenses more than they cost to implement."
Historic_Clean_Energy_Grant_Awards_metadata.csv,The goal of the Clean Energy Grant Program is to increase the amount of renewable energy generated i...,3,0.3734,Other,"As the demand for clean and efficient energy solutions grows, the aggregation of large-scale Distributed Energy Resources (DERs) plays a critical role in optimizing energy systems. This dataset provides detailed parameters and configurations for a variety of DERs, including photovoltaic (PV) systems, energy storage (ES) units, combined heat and power (CHP) systems, heating, ventilation, and air conditioning (HVAC) systems, and electric vehicles (EVs). It aims to support research focused on the aggregation of these resources, with the goal of enhancing the efficiency, flexibility, and sustainability of energy systems. The dataset includes comprehensive data on individual DER characteristics, operational limits, and integration potential, reflecting current technologies and trends in DER aggregation. This resource is designed to assist in the development of models, optimization strategies, and coordination techniques for large-scale DER integration in power grids and other energy networks."
Historic_Clean_Energy_Grant_Awards_metadata.csv,The goal of the Clean Energy Grant Program is to increase the amount of renewable energy generated i...,4,0.3725,Other,"The project of paper ""Massive Coordination of Distributed Energy Resource in VPP: A DRL based Multi-stage Optimization Approach""This work proposed a efficient RL-based approach for coordinate demand response for massive distributed energy resources (DER) in VPP.Using the following command to obtain the project:git clone https://github.com/zhuocend/MFRL_DR_VPP.gitUpdates, Jan/25/2024:The used datasets in this work are updated. Because it is difficult to obtain real operation data from VPPs, whereas the operation data of DERs are available, in this work, data from multiple open datasets containing PV outputs, the BSS demand, the real-time electricity price, etc., are used to generate the datasets required for each experimental scenario.The raw data used for generation comes from the following sources:Base electrical load and thermal load: ASU.Campus metabolismBattery swap staion demand (bettery demand of EVs): ACN-Data [1]PV generation: DKASCReal time electricity price: NYISOWe would like to thank the above projects and institutions for facilitating this work.[1] Z. J. Lee, T. Li, and S. H. Low, “ACN-data: Analysis and applications of an open EV charging dataset” in Proceedings of the Tenth ACM International Conference on Future Energy Systems, 2019, pp. 139–149.Upcoming Updates:The parameter list of DERs and optimization modelsData dictionarySource code (The author may not have permission to open source all the code, but at least Env will be provided so that other researchers can easily test their agents.)&nbsp;"
Historic_Clean_Energy_Grant_Awards_metadata.csv,The goal of the Clean Energy Grant Program is to increase the amount of renewable energy generated i...,5,0.3689,Reliability,"Large-scale penetration of renewable energy generation brings various challenges to the power system in the fields of&nbsp;safety, reliability, economy, and flexibility.&nbsp;Technology to acquire a more&nbsp;stable and economical energy supply. Since wind power and solar&nbsp;energy have naturally complementary characteristics, that is,&nbsp;solar irradiation is abundant during the day, while the wind is strong&nbsp;during the night. In summer, there is adequate solar irradiation and&nbsp;scare winds. In winter and spring, there are stronger winds&nbsp;and insufficient solar irradiation. By utilizing the complementarity of&nbsp;wind and solar resources, the integrated wind-solar-storage system&nbsp;can effectively reduce the intermittency of renewable generations,&nbsp;promote renewable electricity consumption ability, improve&nbsp;energy utilization and system operation efficiency, and reduce carbon emission. In the dataset, there are 8 wind generations and 14 roof-top solar generations in total.&nbsp;&nbsp;The complementary wind power and PV generation data are&nbsp;based on real data from South China.&nbsp;"
Australian_Hydrogen_Projects_metadata.csv,"This dataset features Australian hydrogen projects that are active in the development, construction,...",1,0.4382,Power and Energy,"This dataset refers to the case study performed in the paper ""A Real Options Market-Based Approach to Increase Penetration of Renewables"", submitted to IEEE Transactions on Smart Grid. The file contains the Midcontinent ISO data used for the day-ahead prices, as well as the wind data from NREL'sWind Integration National Dataset Toolkit which was used to estimate the renewable productions in the case study."
Australian_Hydrogen_Projects_metadata.csv,"This dataset features Australian hydrogen projects that are active in the development, construction,...",2,0.4382,Power and Energy,"This dataset refers to the case study performed in the paper ""A Real Options Market-Based Approach to Increase Penetration of Renewables"", submitted to IEEE Transactions on Smart Grid. The file contains the Midcontinent ISO data used for the day-ahead prices, as well as the wind data from NREL'sWind Integration National Dataset Toolkit which was used to estimate the renewable productions in the case study."
Australian_Hydrogen_Projects_metadata.csv,"This dataset features Australian hydrogen projects that are active in the development, construction,...",3,0.4382,Power and Energy,"This dataset refers to the case study performed in the paper ""A Real Options Market-Based Approach to Increase Penetration of Renewables"", submitted to IEEE Transactions on Smart Grid. The file contains the Midcontinent ISO data used for the day-ahead prices, as well as the wind data from NREL'sWind Integration National Dataset Toolkit which was used to estimate the renewable productions in the case study."
